date,BAB
195107,-0.0153475701794
195108,-0.00219428711154
195109,-0.0117872087956
195110,0.00410194363852
195111,0.000536925791991
195112,0.00773640475945
195201,0.00767453541289
195202,0.00159977975089
195203,-0.0120812326621
195204,0.00903120274606
195205,0.00478500816283
195206,-0.00773710204197
195207,0.00868315188886
195208,0.0203889020638
195209,0.0083416744497
195210,-0.00393594516415
195211,0.00398709789086
195212,-0.0000810465701378
195301,0.0141763368401
195302,0.00622094247572
195303,0.00582409444652
195304,-0.00531050899718
195305,0.00118094143289
195306,-0.000748625481638
195307,0.0105477579241
195308,0.0399003418123
195309,0.000262601875927
195310,-0.00544501173419
195311,0.0077474408022
195312,0.0262144356939
195401,-0.0101999417773
195402,0.002075637407
195403,0.000599084581206
195404,0.0117649316805
195405,-0.000543333343729
195406,0.0132722198903
