date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG,MOM
198001,0.7968,5.4968,0.8236,1.3755,1.7091,0.3912,7.55
198002,1.0654,-1.3984,-1.5834,1.6355,2.3128,3.5816,7.88
198003,1.2009,-12.8933,-6.5922,0.758,-1.1889,-1.0137,-9.55
198004,1.2865,3.9336,1.3272,1.2171,0.156,1.4404,-0.43
198005,0.7883,5.2657,1.4455,-1.3668,-0.9026,-0.7841,-1.12
198006,0.6312,3.0402,1.3259,-1.1238,3.0751,0.8495,1.62
198007,0.5281,6.4915,3.7415,-2.2835,-0.4309,-3.3008,0.35
198008,0.5973,1.8486,4.7241,0.636,2.5095,1.5091,3.21
198009,0.8698,2.0675,0.8342,-0.4989,5.1692,2.3078,5.39
198010,0.8912,1.1257,1.1598,0.5113,4.0511,2.6543,7.3
198011,0.8895,9.6524,-5.0206,-1.8971,9.0081,0.889,15.22
198012,1.4149,-4.594,1.072,0.9228,-1.3007,0.1451,-6.68
198101,0.9957,-4.994,3.7136,2.4284,-4.8625,0.5626,-7.95
198102,1.0685,0.5716,-0.0128,1.8933,0.7188,1.6871,-1.35
198103,1.3157,3.4503,3.4407,-1.7882,-1.3251,-1.8552,0.74
198104,1.0756,-2.1749,4.1822,2.3542,1.3307,1.0888,-0.91
198105,1.0646,0.1985,2.4679,-0.5217,-0.0417,1.6626,3.7
198106,1.5158,-2.5099,-0.7592,2.7179,-0.0395,1.9106,-5.81
198107,1.1915,-1.4904,-1.6009,-1.9549,3.1499,-0.6191,-2.45
198108,1.2804,-7.0074,-1.3999,1.212,0.7439,2.2329,-1.15
198109,1.2794,-7.179,-1.6999,3.5847,0.6353,3.9739,1.95
198110,1.1685,4.9276,1.9648,-1.0037,4.7524,-1.0121,4.01
198111,1.103,3.3194,-1.5096,0.4675,0.5365,1.9895,-0.27
198112,0.8738,-3.6308,1.2699,1.9064,-0.4911,1.3694,1.3
198201,0.7306,-3.1709,-0.2738,2.0678,-1.437,0.8418,1.72
198202,0.9176,-5.8456,0.5093,4.7787,0.3372,3.5564,4.88
198203,1.1077,-1.9771,0.6494,1.7936,-1.6858,2.4862,2.96
198204,1.129,3.2698,0.46,1.1662,1.9106,0.7097,-0.4
198205,0.9592,-3.8098,-0.4029,-0.5056,-0.5057,0.9597,2.5
198206,1.071,-3.1715,1.139,2.7958,0.1052,3.4237,4.96
198207,1.021,-3.1612,1.7077,2.0544,2.7536,3.8311,4.44
198208,0.8342,11.0525,-3.4331,-0.505,-1.2626,-2.9382,-3.52
198209,0.5118,1.2969,3.0825,1.0496,3.5356,3.5036,4.19
198210,0.5475,11.3367,0.904,-1.0797,-0.7302,-0.9991,0.18
198211,0.7201,4.587,4.466,1.4721,3.1813,3.8231,5.94
198212,0.6289,0.6062,-0.7888,0.3665,-0.7166,-0.2713,0.04
198301,0.6864,3.5939,2.2053,-0.8305,-2.4005,-1.897,-1.74
198302,0.6186,2.5819,3.7613,1.6194,3.0421,2.0265,3.78
198303,0.6326,2.8195,1.5925,2.8987,1.126,2.0409,0.93
198304,0.6918,6.6887,-0.3492,2.1808,0.5583,2.3291,1.72
198305,0.7584,0.4543,6.1099,-1.4387,-3.5765,-3.8352,-1.56
198306,0.6661,3.0717,2.0999,-1.1252,1.5529,2.6153,1.8
198307,0.6917,-4.0181,0.6757,2.7773,1.1624,2.9737,-3.11
198308,0.8342,-0.5699,-4.6776,1.2103,-0.4173,0.3917,-5.43
198309,0.7607,0.9031,0.4313,1.3323,3.2539,2.9064,-0.03
198310,0.7433,-3.4257,-3.8621,2.641,1.6359,3.7354,-4.52
198311,0.7199,2.1443,2.08,1.1119,-0.2172,-1.7498,-0.13
198312,0.7039,-1.7478,-1.1451,1.3102,-1.5496,1.0785,0.84
198401,0.8083,-1.9567,-1.0195,2.3766,-3.7268,0.8835,-2.56
198402,0.7328,-4.7811,-1.8015,0.8912,-0.7739,0.6762,0.22
198403,0.728,0.6341,-0.129,0.6814,-0.6322,1.2598,1.07
198404,0.813,-0.5127,-0.9136,1.0722,2.1374,2.4198,2.07
198405,0.7898,-5.9695,-0.4435,-1.4646,1.78,1.7731,1.51
198406,0.7534,1.8032,0.4576,-2.2742,1.815,0.6613,-0.7
198407,0.8755,-2.7937,-2.3059,-1.3356,3.6298,2.97,2.83
198408,0.7963,10.288,0.2282,-0.428,0.9652,0.0264,-5.59
198409,0.8293,-0.7722,-0.7184,2.5924,0.1676,1.184,3.62
198410,0.9766,-0.8323,-1.4098,-0.3033,2.6699,1.8111,3.16
198411,0.7334,-1.7642,-1.0611,2.2176,0.7994,1.6373,1.64
198412,0.6923,1.7787,-0.4105,-0.8106,2.5112,1.3006,1.49
198501,0.6474,7.96,3.4367,-3.4516,0.9888,-1.6525,-6.82
198502,0.6033,1.1965,0.7616,1.0958,1.5322,2.2437,1.88
198503,0.616,-0.8419,-2.0585,3.3111,0.9456,2.0324,1.58
198504,0.7565,-0.9973,-0.6881,1.4012,0.1215,1.8021,3.04
198505,0.6062,5.1201,-1.6118,-1.2667,3.243,1.5286,3.99
198506,0.5546,1.2632,-0.5444,-0.1402,2.8783,1.6833,3.57
198507,0.6196,-0.7145,2.3504,-0.8343,-1.7883,1.3406,-3.91
198508,0.5792,-1.0296,-0.1602,2.0702,0.4266,1.0419,1.85
198509,0.6049,-4.5089,-1.8447,1.9424,1.1445,1.7479,1.51
198510,0.6021,4.0491,-0.1913,0.2881,2.233,2.8931,4.88
198511,0.6156,6.432,-0.2272,-1.643,1.7564,-0.9268,-0.47
198512,0.6139,3.9078,0.2882,-1.5031,1.7438,-0.9284,-0.23
198601,0.4865,0.7227,1.06,-0.6883,1.653,1.7818,3
198602,0.5296,7.1168,-0.3587,-1.4016,2.3756,0.8424,2.76
198603,0.5963,4.8772,0.6255,1.0909,2.0581,1.7081,2.41
198604,0.5341,-1.2944,1.066,-1.576,0.6493,0.0184,-0.36
198605,0.4934,4.6065,-1.1507,1.2884,3.3762,0.9818,2.05
198606,0.5246,1.0324,-0.2631,1.6555,5.2598,0.8818,5.07
198607,0.5011,-6.4162,-2.7392,1.3922,2.9692,2.7937,1.85
198608,0.4614,6.0496,-4.3752,3.0475,-2.709,1.6055,-5.28
198609,0.4783,-8.6058,0.5503,3.3766,-3.7962,-0.3482,-5.79
198610,0.4209,4.6836,-1.7598,0.5282,1.505,0.6012,4.46
198611,0.3924,1.1606,-1.9889,0.3816,1.1185,3.7262,-0.26
198612,0.4767,-3.2311,0.8446,1.0676,1.8948,1.6509,0.35
198701,0.4151,12.44,-1.2374,-1.2555,0.9573,2.8709,2.2
