date,Mom   
19860120,0.13
19860121,0.59
19860122,0.54
19860123,0.27
19860124,0.15
19860127,0.92
19860128,0.54
19860129,0.68
19860130,0.21
19860131,0.34
19860203,0.12
19860204,0.58
19860205,0.17
19860206,-0.06
19860207,-0.42
19860210,-0.16
19860211,0.03
19860212,-0.09
19860213,0.11
19860214,0.33
19860218,0.18
19860219,0.36
19860220,-0.11
19860221,-0.04
19860224,0.21
19860225,-0.25
19860226,0.22
19860227,0.35
19860228,0.49
19860303,0.55
19860304,-0.06
19860305,-0.05
19860306,0.4
19860307,0.55
19860310,-0.01
19860311,-0.67
19860312,-0.4
19860313,-0.03
19860314,0.35
19860317,-0.17
19860318,-0.31
19860319,0.13
19860320,-0.06
19860321,-0.58
19860324,0.62
19860325,0.32
19860326,0.52
19860327,0.63
19860331,0.76
19860401,0.14
19860402,-0.32
19860403,0.05
19860404,-0.62
19860407,-0.55
19860408,0.79
19860409,0.57
19860410,0.04
19860411,-0.27
19860414,0.29
19860415,-0.28
19860416,0.64
19860417,0.16
19860418,0.39
19860421,-0.04
19860422,0.2
19860423,-0.51
19860424,-0.35
19860425,-0.28
19860428,-0.12
19860429,-0.17
19860430,-0.37
19860501,-0.27
19860502,-0.32
19860505,-0.25
19860506,0.08
19860507,-0.07
19860508,-0.52
19860509,-0.4
19860512,0.02
19860513,0.36
19860514,0.42
19860515,-0.19
19860516,-0.16
19860519,-0.36
19860520,0.23
19860521,0.64
19860522,0.53
19860523,0.46
19860527,0.61
19860528,0.52
19860529,0.32
19860530,-0.27
19860602,0.08
19860603,0.02
19860604,0.43
19860605,0.04
19860606,0.31
19860609,-0.03
19860610,-0.08
19860611,0.42
19860612,0.34
19860613,0.26
19860616,0.1
19860617,0.27
19860618,0.04
19860619,0.22
19860620,0.33
19860623,0.31
19860624,0.52
19860625,0.56
19860626,0.39
19860627,-0.15
19860630,0.34
19860701,0.42
19860702,0.32
19860703,0.19
19860707,-1.18
19860708,-1.31
19860709,0.78
19860710,0.1
19860711,0.31
19860714,-0.68
19860715,-0.23
19860716,0.61
19860717,1.01
19860718,0.51
19860721,0.43
19860722,0.46
19860723,0.57
19860724,0.75
19860725,0.26
19860728,-0.16
19860729,-0.12
19860730,-0.18
19860731,0.01
19860801,0.04
19860804,-0.96
19860805,-1.4
19860806,-0.27
19860807,-0.12
19860808,-0.27
19860811,0.23
19860812,0.18
19860813,0.31
19860814,0.16
19860815,-0.38
19860818,0.33
19860819,0.55
19860820,-0.44
19860821,-0.03
19860822,-0.63
19860825,-0.48
19860826,-0.87
19860827,-0.69
19860828,0.13
19860829,0.01
19860902,-0.43
19860903,-0.75
19860904,-1.35
19860905,-1.03
19860908,-0.9
19860909,-0.08
19860910,-0.47
19860911,-1.19
19860912,-0.59
19860915,0.26
19860916,-0.34
19860917,0.53
19860918,0.1
19860919,-0.51
19860922,0.59
19860923,0.62
19860924,0.47
19860925,-0.34
19860926,-0.54
19860929,-0.22
19860930,-0.05
19861001,0.51
19861002,0.29
19861003,0.34
19861006,-0.12
19861007,-0.28
19861008,-0.22
19861009,0.33
19861010,-0.03
19861013,0.07
19861014,0.66
19861015,0.17
19861016,0.32
19861017,0.19
19861020,0
19861021,-0.27
19861022,0.19
19861023,0.55
19861024,0.03
19861027,0.14
19861028,0.26
19861029,0.19
19861030,-0.02
19861031,-0.59
19861103,-0.03
19861104,-0.04
19861105,-0.23
19861106,0.12
19861107,-0.08
19861110,-0.15
19861111,-0.26
19861112,0.03
19861113,0.05
19861114,-0.41
19861117,0.03
19861118,-0.08
19861119,-0.32
19861120,0.32
19861121,0.49
19861124,0.14
19861125,-0.21
19861126,0.42
19861128,-0.19
19861201,-0.09
19861202,0.17
19861203,0.41
19861204,0.08
19861205,0.07
19861208,0.22
19861209,0.3
19861210,-0.01
19861211,0.04
19861212,0.16
19861215,-0.43
19861216,0.12
19861217,0.22
19861218,0.08
19861219,-0.02
19861222,0.01
19861223,0.19
19861224,-0.23
19861226,0
19861229,0.16
19861230,-0.06
19861231,-0.35
19870102,-0.17
19870105,0.03
19870106,0.49
